job_code,job_name,꼼꼼함,독립성,리더십,분석적 사고,사회성,성취/노력,스트레스 감내성,신뢰성,인내,자기통제,적응성/융통성,정직성,책임과 진취성,타인에 대한 배려,혁신,협조
K000000821,제관원(제관기조작원),3.9,3.1,2.6,2.7,2.8,3.4,3.3,3.3,3.3,3.0,3.1,3.0,3.5,3.0,2.6,3.3
K000000822,항공기정비원,4.5,3.4,3.6,3.7,3.8,4.2,4.0,4.3,3.9,3.9,4.1,4.0,4.4,3.7,3.3,3.9
K000000823,판금원(판금기조작원),4.2,3.6,3.0,3.4,3.1,3.6,3.4,3.5,3.5,3.5,3.5,3.4,4.1,3.3,3.3,3.7
K000000824,번역가,4.6,3.9,2.9,3.6,2.7,3.9,3.8,4.3,4.0,3.7,3.6,3.7,4.2,3.3,2.9,3.6
K000000825,자연과학시험원,4.1,3.6,3.4,3.9,3.4,3.9,3.7,3.8,3.8,3.7,3.9,3.7,4.0,3.5,3.4,3.9
K000000826,전기기기·제품개발기술자 및 연구원,4.5,3.5,3.6,4.5,3.9,4.0,4.0,4.3,3.9,3.8,3.9,3.9,4.0,3.7,3.7,4.1
K000000827,노점 및 이동판매원,3.8,3.3,2.6,2.4,3.6,3.7,3.3,3.6,3.6,3.4,3.5,3.7,3.4,3.2,2.7,2.8
K000000828,시멘트·광물제품생산기계조작원,3.4,2.4,2.9,2.8,3.1,3.5,3.0,3.3,3.2,2.7,3.1,2.9,3.5,3.1,2.5,3.4
K000000829,토목안전·환경기술자 및 토목품질기술자,4.3,3.2,3.8,4.0,3.7,3.9,4.0,4.2,3.6,3.7,3.6,3.8,4.0,3.2,2.9,4.1
K000000830,치과위생사,4.0,2.8,2.7,2.9,3.3,3.7,3.4,3.2,3.6,3.2,3.2,3.5,3.7,3.4,2.8,3.2
K000000831,도장원(도장기조작원),3.7,3.1,2.9,3.1,3.1,3.7,3.6,3.2,3.5,3.5,3.3,3.1,3.7,3.1,2.9,3.3
K000000832,정보보안전문가,4.5,3.7,3.7,4.5,3.9,4.0,4.2,4.5,4.0,4.1,3.5,4.1,4.1,3.5,3.2,4.2
K000000833,사회복지관리자,4.1,3.1,4.2,3.5,4.1,4.0,4.1,4.3,4.2,3.9,4.0,4.2,4.4,4.1,3.2,4.2
K000000834,정치학연구원,4.2,3.6,3.8,4.2,3.9,4.0,3.9,4.1,4.0,3.9,3.8,3.8,4.0,3.4,3.5,3.9
K000000835,산업안전원 및 위험관리원,4.6,3.6,4.0,3.9,4.5,4.1,4.2,4.4,4.2,3.8,4.0,4.0,4.6,4.0,2.8,4.8
K000000836,농학연구원,4.1,3.2,3.4,4.2,3.7,4.5,3.7,4.3,4.1,3.6,3.9,3.8,4.4,3.6,3.7,3.9
K000000837,외국어강사,3.8,3.1,3.6,3.2,3.4,3.5,3.4,3.8,3.6,3.3,3.2,3.6,3.9,3.7,3.1,3.1
K000000838,초등학교 교장 및 교감,4.0,3.4,4.1,3.6,3.9,3.9,3.7,4.0,3.9,3.7,3.7,3.9,4.2,3.6,3.3,3.7
K000000839,표백·염색기조작원,3.8,2.7,2.0,2.5,2.9,3.3,3.5,3.2,3.7,3.1,3.2,3.1,3.5,2.4,2.3,3.0
